lemma,poscode,surface
A1,3,A1
A10,3,A10
A12,3,A12
A13,3,A13
A15,3,A15
A16,3,A16
A17,3,A17
A1-autosnelweg,3,A1-autosnelweg
A2,3,A2
A20,3,A20
A256,3,A256
A27,3,A27
A28,3,A28
A29,3,A29
A2-tunnel,3,A2-tunnel
A35,3,A35
A4,3,A4
A50,3,A50
A52,3,A52
A58,3,A58
A59,3,A59
A6,3,A6
A67,3,A67
A7,3,A7
A73,3,A73
A76,3,A76
A8,3,A8
A9,3,A9
Aa,3,Aa
Aadorp,3,Aadorp
Aagtdorp,3,Aagtdorp
Aagtekerke,3,Aagtekerke
Aaigem,3,Aaigem
Aalbeek,3,Aalbeek
Aalbeke,3,Aalbeke
Aalborg,3,Aalborg
Aalburg,3,Aalburg
Aalden,3,Aalden
Aaldonk,3,Aaldonk
Aalsmeer,3,Aalsmeer
Aalsmeerderbrug,3,Aalsmeerderbrug
Aalsmeerderbuurt,3,Aalsmeerderbuurt
Aalst,3,Aalst
Aalsum,3,Aalsum
Aalten,3,Aalten
Aalter,3,Aalter
Aalzum,3,Aalzum
Aam,3,Aam
Aan de Berg,3,Aan de Berg
Aan de Bergen,3,Aan de Bergen
Aan de Maas,3,Aan de Maas
Aan de Popelaar,3,Aan de Popelaar
Aan de School,3,Aan de School
Aan Reyans,3,Aan Reyans
Aanschot,3,Aanschot
Aanwas,3,Aanwas
Aardbeienstraat,3,Aardbeienstraat
Aarde,3,Aarde
Aardenburg,3,Aardenburg
Aardhuis,3,Aardhuis
Aarlanderveen,3,Aarlanderveen
Aarle,3,Aarle
Aarle Rixtel,3,Aarle Rixtel
Aarle-Rixtel,3,Aarle-Rixtel
Aarschot,3,Aarschot
Aarsele,3,Aarsele
Aartrijke,3,Aartrijke
Aartselaar,3,Aartselaar
Aartswoud,3,Aartswoud
Aasterberg,3,Aasterberg
Abbega,3,Abbega
Abbekerk,3,Abbekerk
Abbekinderen,3,Abbekinderen
Abbenbroek,3,Abbenbroek
Abbenes,3,Abbenes
Abbewier,3,Abbewier
Abcoude,3,Abcoude
Abcoven,3,Abcoven
Abdissenbosch,3,Abdissenbosch
Abée,3,Abée
Abetone,3,Abetone
Abidjan,3,Abidjan
Abolens,3,Abolens
Absdale,3,Absdale
Abshoven,3,Abshoven
Abtswoude,3,Abtswoude
Abu Dhabi,3,Abu Dhabi
Abuja,3,Abuja
Academisch Medisch Centrum,3,Academisch Medisch Centrum
Academisch Ziekenhuis,3,Academisch Ziekenhuis
Academisch Ziekenhuis Groningen,3,Academisch Ziekenhuis Groningen
Accra,3,Accra
Achel,3,Achel
Achêne,3,Achêne
Achet,3,Achet
Achlum,3,Achlum
Achterberg,3,Achterberg
Achterbos,3,Achterbos
Achterbosch,3,Achterbosch
Achterbroek,3,Achterbroek
Achterdijk,3,Achterdijk
Achterdrempt,3,Achterdrempt
Achtereind,3,Achtereind
Achter het Klooster,3,Achter het Klooster
Achtersloot,3,Achtersloot
Achterste Brug,3,Achterste Brug
Achterste Diesdonk,3,Achterste Diesdonk
Achterste Erm,3,Achterste Erm
Achterste Steeg,3,Achterste Steeg
Achter-Thesinge,3,Achter-Thesinge
Achterveld,3,Achterveld
Achthoven,3,Achthoven
Achthuizen,3,Achthuizen
Achtkarspelen,3,Achtkarspelen
Achtmaal,3,Achtmaal
Achttienhoven,3,Achttienhoven
Acosse,3,Acosse
Acoz,3,Acoz
Acquoy,3,Acquoy
A'dam,3,A'dam
A'dam-Noord,3,A'dam-Noord
Addis Abeba,3,Addis Abeba
A. De Boeckstraat,3,A. De Boeckstraat
Adegem,3,Adegem
Adelaide,3,Adelaide
Adelboden,3,Adelboden
Aden,3,Aden
Adinkerke,3,Adinkerke
Adorp,3,Adorp
Aduard,3,Aduard
Aduarderzijl,3,Aduarderzijl
Aegum,3,Aegum
Aerdenhout,3,Aerdenhout
Aerdt,3,Aerdt
Afferden,3,Afferden
Affligem,3,Affligem
Afganistan,3,Afganistan
Afghanistan,3,Afghanistan
Afrika,3,Afrika
Afsluitdijk,3,Afsluitdijk
Afsnee,3,Afsnee
Afula,3,Afula
Agadir,3,Agadir
Agelerbroek,3,Agelerbroek
Agelo,3,Agelo
Agimont,3,Agimont
Agulhusstroom,3,Agulhusstroom
Ahmedabad,3,Ahmedabad
Ahoy,3,Ahoy
Aijen,3,Aijen
Aineffe,3,Aineffe
Aische-en-Refail,3,Aische-en-Refail
Aiseau,3,Aiseau
Aiseau-Presles,3,Aiseau-Presles
Aisemont,3,Aisemont
Aken,3,Aken
A-Kerkhof,3,A-Kerkhof
Akersloot,3,Akersloot
Akhaura,3,Akhaura
Akierwoude,3,Akierwoude
Akker,3,Akker
Akkerput,3,Akkerput
Akkrum,3,Akkrum
Akmarijp,3,Akmarijp
Alabama,3,Alabama
Alaska,3,Alaska
Alb,3,Alb
Albanie,3,Albanie
Albanië,3,Albanië
Albany,3,Albany
Albergen,3,Albergen
Alblasserdam,3,Alblasserdam
Alcobendas,3,Alcobendas
Aldeboarn,3,Aldeboarn
Aldtsjerk,3,Aldtsjerk
Alem,3,Alem
Aletta Jacobszaal,3,Aletta Jacobszaal
Alfriston,3,Alfriston
Alg,3,Alg
Algarve,3,Algarve
Algeciras,3,Algeciras
Algerije,3,Algerije
Algiers,3,Algiers
Alicante,3,Alicante
Alkemade,3,Alkemade
Alken,3,Alken
Alkmaar,3,Alkmaar
Alkmaardermeer,3,Alkmaardermeer
Allersma,3,Allersma
Alleur,3,Alleur
Allingawier,3,Allingawier
Almaty,3,Almaty
Almelo,3,Almelo
Almen,3,Almen
Almenum,3,Almenum
Almere,3,Almere
Almere Buiten,3,Almere Buiten
Almere-Buiten,3,Almere-Buiten
Almere CS,3,Almere CS
Almere-Haven,3,Almere-Haven
Almere-Stad,3,Almere-Stad
Almeria,3,Almeria
Almkerk,3,Almkerk
al-Mughazi,3,al-Mughazi
Alpharetta,3,Alpharetta
Alphen,3,Alphen
Alphen aan den Rijn,3,Alphen aan den Rijn
ALPHEN AAN DEN RIJN,3,ALPHEN AAN DEN RIJN
Alphen a / d Rijn,3,Alphen a / d Rijn
Alphen a/d Rijn,3,Alphen a/d Rijn
Alphen-Boshoven,3,Alphen-Boshoven
Alphen en Riel,3,Alphen en Riel
Alphen-Oosterwijk,3,Alphen-Oosterwijk
Alsemberg,3,Alsemberg
Altena,3,Altena
Alteveer,3,Alteveer
Alteveer gem. Roden,3,Alteveer gem. Roden
Alteveer gem. Zuidwolde,3,Alteveer gem. Zuidwolde
Altforst,3,Altforst
Alto de los Leones,3,Alto de los Leones
Altweert,3,Altweert
Altweerterheide,3,Altweerterheide
Alveringem,3,Alveringem
Alverna,3,Alverna
Amay,3,Amay
Amazone,3,Amazone
Amazonegebied,3,Amazonegebied
Amazonewoud,3,Amazonewoud
Amberloup,3,Amberloup
Ambij,3,Ambij
Amblève,3,Amblève
Ambly,3,Ambly
Ambon,3,Ambon
Ambresin,3,Ambresin
Ambt Delden,3,Ambt Delden
Amby,3,Amby
AMC,3,AMC
Ameide,3,Ameide
Amel,3,Amel
Ameland,3,Ameland
Amen,3,Amen
America,3,America
Amerika,3,Amerika
Amerikaans Samoa,3,Amerikaans Samoa
Amerongen,3,Amerongen
Amersfoort,3,Amersfoort
Amman,3,Amman
Ammerstol,3,Ammerstol
Ammerzoden,3,Ammerzoden
Amonines,3,Amonines
Amougies,3,Amougies
Ampsen,3,Ampsen
Ampsin,3,Ampsin
Amstel,3,Amstel
Amstelhoek,3,Amstelhoek
Amstelveen,3,Amstelveen
Amstenrade,3,Amstenrade
Amsterdam,3,Amsterdam
Amsterdam Arena,3,Amsterdam Arena
Amsterdam Bijlmer,3,Amsterdam Bijlmer
Amsterdam CS,3,Amsterdam CS
Amsterdam-Osdorp,3,Amsterdam-Osdorp
Amsterdamsche Bosch,3,Amsterdamsche Bosch
Amsterdamscheveld,3,Amsterdamscheveld
Amsterdam-Zuid,3,Amsterdam-Zuid
Amsterdam Zuidoost,3,Amsterdam Zuidoost
Amsterdam-Zuidoost,3,Amsterdam-Zuidoost
Amsweer,3,Amsweer
Anaheim,3,Anaheim
Anchorage,3,Anchorage
Andel,3,Andel
Andelst,3,Andelst
Andenne,3,Andenne
Anderen,3,Anderen
Anderlecht,3,Anderlecht
Anderlues,3,Anderlues
Andijk,3,Andijk
Andorra,3,Andorra
Andorra la Vella,3,Andorra la Vella
Andrimont,3,Andrimont
Ane,3,Ane
Anerveen,3,Anerveen
Anevelde,3,Anevelde
Angelo,3,Angelo
Angeren,3,Angeren
Angerlo,3,Angerlo
Angkor Wat,3,Angkor Wat
Angleur,3,Angleur
Angola,3,Angola
Angoulème,3,Angoulème
Angra Dos Reis,3,Angra Dos Reis
Angre,3,Angre
Angreau,3,Angreau
Anguilla,3,Anguilla
Anhée,3,Anhée
Anholt,3,Anholt
Anjum,3,Anjum
Ankara,3,Ankara
Ankeveen,3,Ankeveen
Ankum,3,Ankum
Anlier,3,Anlier
Anloo,3,Anloo
Anloy,3,Anloy
Anna Jacobapolder,3,Anna Jacobapolder
Anna Paulowna,3,Anna Paulowna
Annapolis,3,Annapolis
Annen,3,Annen
Annendaal,3,Annendaal
Annerveensche Kanaal,3,Annerveensche Kanaal
Annevoie-Rouillon,3,Annevoie-Rouillon
Anreep,3,Anreep
Ans,3,Ans
Ansen,3,Ansen
Anseremme,3,Anseremme
Anseroeul,3,Anseroeul
Antalya,3,Antalya
Antananarivo,3,Antananarivo
Anthée,3,Anthée
Antheit,3,Antheit
Anthisnes,3,Anthisnes
Antigua,3,Antigua
Antigua en Barbuda,3,Antigua en Barbuda
Antillen,3,Antillen
Antoing,3,Antoing
Antonius,3,Antonius
Antonius Ziekenhuis,3,Antonius Ziekenhuis
Antwerpen,3,Antwerpen
Antwerpse Zoo,3,Antwerpse Zoo
Anuta,3,Anuta
Anvaing,3,Anvaing
Anzegem,3,Anzegem
Aostadal,3,Aostadal
Apeldoorn,3,Apeldoorn
A'pen,3,A'pen
Apenberg,3,Apenberg
Apia,3,Apia
Apicius,3,Apicius
Apollo Palace,3,Apollo Palace
Appel,3,Appel
Appels,3,Appels
Appelscha,3,Appelscha
Appeltern,3,Appeltern
Appelterre-Eichem,3,Appelterre-Eichem
Appen,3,Appen
Appingedam,3,Appingedam
Arabische Republiek Egypte,3,Arabische Republiek Egypte
Arabische Zee,3,Arabische Zee
Arak,3,Arak
Arboretum,3,Arboretum
Arbre,3,Arbre
Arbrefontaine,3,Arbrefontaine
Arc-Ainières,3,Arc-Ainières
Arcen,3,Arcen
Arcen en Velden,3,Arcen en Velden
Archem,3,Archem
Archennes,3,Archennes
Arc-Wattripont,3,Arc-Wattripont
Ardennen,3,Ardennen
Ardooie,3,Ardooie
Arena,3,Arena
ArenA,3,ArenA
Arendonk,3,Arendonk
Arensgenhout,3,Arensgenhout
Arg,3,Arg
Arg)-Asagoe,3,Arg)-Asagoe
Argenteau,3,Argenteau
