lemma,poscode,surface
11.11.11,3,11.11.11
11.11.11.,3,11.11.11.
1860 München,3,1860 München
3Es / Lieshout,3,3Es / Lieshout
3M,3,3M
3VO,3,3VO
4FM,3,4FM
90e Pantserdivisie,3,90e Pantserdivisie
AAC,3,AAC
AAC 1899,3,AAC 1899
AAC Cosmos,3,AAC Cosmos
AA Drinks,3,AA Drinks
AA Gent,3,AA Gent
Aalberts,3,Aalberts
Aarhus,3,Aarhus
ABB,3,ABB
Abba,3,Abba
ABC,3,ABC
ABC Containerline,3,ABC Containerline
Aberdeen,3,Aberdeen
ABN Amro,3,ABN Amro
ABN-Amro,3,ABN-Amro
ABO,3,ABO
Abvakabo,3,Abvakabo
AbvaKabo,3,AbvaKabo
AbvaKabo FNV,3,AbvaKabo FNV
ABVV,3,ABVV
ABX,3,ABX
Academica,3,Academica
Academie,3,Academie
ACC,3,ACC
Accell Group,3,Accell Group
Acco,3,Acco
AC / DC,3,AC / DC
Achilles 1894,3,Achilles 1894
Achilles'29,3,Achilles'29
Achmea,3,Achmea
Ackermans & van Haaren,3,Ackermans & van Haaren
AC Milan,3,AC Milan
ACMP,3,ACMP
ACOD,3,ACOD
Acom,3,Acom
ACOM,3,ACOM
AC Parma,3,AC Parma
Acqua & Sapone,3,Acqua & Sapone
AC Torino,3,AC Torino
ACV,3,ACV
ACV Energie,3,ACV Energie
ACW,3,ACW
AD,3,AD
A'dam Tigers,3,A'dam Tigers
Adanaspor,3,Adanaspor
Adecco,3,Adecco
Aden-Abyan,3,Aden-Abyan
Aditel,3,Aditel
Admiraliteit,3,Admiraliteit
ADO,3,ADO
ADO'20,3,ADO'20
ADO Den Haag,3,ADO Den Haag
ADO Den Hg,3,ADO Den Hg
Aegon,3,Aegon
AEK Athene,3,AEK Athene
AEL,3,AEL
Aeroflot,3,Aeroflot
AFC,3,AFC
AFMP,3,AFMP
AFP,3,AFP
Afrikaanse Unie,3,Afrikaanse Unie
Afrika-instituut,3,Afrika-instituut
AFSSA,3,AFSSA
Aftonbladet,3,Aftonbladet
AG2R,3,AG2R
AG2R Prévoyance,3,AG2R Prévoyance
Agalev,3,Agalev
Agalev Borsbeek Sociaal,3,Agalev Borsbeek Sociaal
Agfa,3,Agfa
Agfa Gevaert,3,Agfa Gevaert
Agfa-Gevaert,3,Agfa-Gevaert
AGOVV,3,AGOVV
Agusta,3,Agusta
AH,3,AH
AHA,3,AHA
AHC Kolping,3,AHC Kolping
AHC / Kolping,3,AHC / Kolping
AH Mobiel,3,AH Mobiel
Ahold,3,Ahold
AID,3,AID
AIK Solna,3,AIK Solna
Aino,3,Aino
Airbus,3,Airbus
Airdrie United,3,Airdrie United
Air France,3,Air France
Air Holland,3,Air Holland
Air Katanga,3,Air Katanga
AirLib,3,AirLib
Air Lib,3,Air Lib
Air Malta,3,Air Malta
Air New Zealand,3,Air New Zealand
Air Scotland,3,Air Scotland
Airspray,3,Airspray
Airstop,3,Airstop
AIT / FIA,3,AIT / FIA
AIVD,3,AIVD
Ajaccio,3,Ajaccio
AJ Auxerre,3,AJ Auxerre
Ajax,3,Ajax
AJW,3,AJW
A.J. Walter Aviation,3,A.J. Walter Aviation
AJ Walter Aviation,3,AJ Walter Aviation
AKN,3,AKN
