lemma,poscode,surface
50 Cent,3,50 Cent
A.,3,A.
Aab,3,Aab
Aad,3,Aad
Aad Pools,3,Aad Pools
Aaf,3,Aaf
Aafke,3,Aafke
Aag,3,Aag
Aaldert,3,Aaldert
Aaldrik,3,Aaldrik
Aaliyah,3,Aaliyah
Aaltje,3,Aaltje
Aaron,3,Aaron
Aaron Blount,3,Aaron Blount
Aaron Burr,3,Aaron Burr
Aaron Pedersen,3,Aaron Pedersen
Aaron Seltzer,3,Aaron Seltzer
Aaron Stewart,3,Aaron Stewart
Aart,3,Aart
Aart-Jan,3,Aart-Jan
Aarts,3,Aarts
Aartsen,3,Aartsen
Aart Vierhouten,3,Aart Vierhouten
Aasted,3,Aasted
Ab,3,Ab
A.B.,3,A.B.
Aba,3,Aba
Ababou,3,Ababou
Abacha,3,Abacha
Abadou,3,Abadou
Abararcourcix,3,Abararcourcix
A. Bartolini,3,A. Bartolini
Abayat,3,Abayat
Abbado,3,Abbado
Abba Eban,3,Abba Eban
Abbas,3,Abbas
Abbas Bayat,3,Abbas Bayat
Abbas Kiarostami,3,Abbas Kiarostami
Abbeele,3,Abbeele
Abbeloos,3,Abbeloos
Abbott,3,Abbott
Abbulla,3,Abbulla
Abby,3,Abby
Abd,3,Abd
Abdalla,3,Abdalla
Abdel,3,Abdel
Abdelghani,3,Abdelghani
Abdelghani Abadou,3,Abdelghani Abadou
Abdelhafid,3,Abdelhafid
Abdelhafid El Ajoutti,3,Abdelhafid El Ajoutti
Abdelkader,3,Abdelkader
Abdelkader Alloula,3,Abdelkader Alloula
Abdelkrim El Hadrioui,3,Abdelkrim El Hadrioui
Abdellah,3,Abdellah
Abdellaoui,3,Abdellaoui
Abdoesjaparov,3,Abdoesjaparov
Abdolah,3,Abdolah
Abdollah,3,Abdollah
Abdoujaparov,3,Abdoujaparov
Abdoulaye,3,Abdoulaye
Abdoulaye Ndombasi,3,Abdoulaye Ndombasi
Abdoulaye Wade,3,Abdoulaye Wade
Abdoulaye Yerodia,3,Abdoulaye Yerodia
Abdoulaye Yerodia Ndombasi,3,Abdoulaye Yerodia Ndombasi
Abdul,3,Abdul
Abdula,3,Abdula
Abdulah,3,Abdulah
Abdul Aziz,3,Abdul Aziz
Abdul Jawa Selawat,3,Abdul Jawa Selawat
Abdulkasim,3,Abdulkasim
Abdulkasim Salat Hassan,3,Abdulkasim Salat Hassan
Abdul Khalil Ali,3,Abdul Khalil Ali
Abdullah,3,Abdullah
Abdullahi,3,Abdullahi
Abdullahi Ahmed An-Na'im,3,Abdullahi Ahmed An-Na'im
Abdullah Ibrahim,3,Abdullah Ibrahim
Abdullahi Yusuf,3,Abdullahi Yusuf
Abdullah Ocalan,3,Abdullah Ocalan
Abdul Muhammed,3,Abdul Muhammed
Abdulsalami,3,Abdulsalami
Abdulsalami Abubakar,3,Abdulsalami Abubakar
Abdul Saleem Senanu,3,Abdul Saleem Senanu
Abdurrahman,3,Abdurrahman
Abdurrahman Wahid,3,Abdurrahman Wahid
Abe,3,Abe
Abed,3,Abed
Abeele,3,Abeele
Abel,3,Abel
Abel Balbo,3,Abel Balbo
Abe Lenstra,3,Abe Lenstra
Abel Ferrara,3,Abel Ferrara
Abel Joseph,3,Abel Joseph
Abelló,3,Abelló
Abelsen,3,Abelsen
Abeltje,3,Abeltje
Abel Xavier,3,Abel Xavier
Aben,3,Aben
A. Bergmans,3,A. Bergmans
Abhijit,3,Abhijit
Abhijit Kunte,3,Abhijit Kunte
Abi,3,Abi
Abia,3,Abia
Abicht,3,Abicht
Abigael,3,Abigael
Abigaël,3,Abigaël
Abigail,3,Abigail
Abigaïl,3,Abigaïl
Abilio,3,Abilio
Ablalliv,3,Ablalliv
Aboe,3,Aboe
A. Boldon,3,A. Boldon
A. Bos,3,A. Bos
Abou,3,Abou
Abraham,3,Abraham
Abraham Burton,3,Abraham Burton
Abraham Lincoln,3,Abraham Lincoln
Abraham Olano,3,Abraham Olano
Abraham Ortelius,3,Abraham Ortelius
Abraham Polonsky,3,Abraham Polonsky
Abraham Randrup,3,Abraham Randrup
Abrahams,3,Abrahams
Abramovic,3,Abramovic
Abrams,3,Abrams
Abriana,3,Abriana
Abs,3,Abs
Abt,3,Abt
Abu,3,Abu
Abubakar,3,Abubakar
Abubakari,3,Abubakari
Abubakari Yakubu,3,Abubakari Yakubu
A. Bucher,3,A. Bucher
Abukabar,3,Abukabar
Abul,3,Abul
Aburajik,3,Aburajik
Aburajik Abukabar Janjalani,3,Aburajik Abukabar Janjalani
A. Buschschulte,3,A. Buschschulte
A.B. van der Weerelt,3,A.B. van der Weerelt
Aby,3,Aby
Aca,3,Aca
A. Casero,3,A. Casero
Acasuso,3,Acasuso
Acda,3,Acda
Ace,3,Ace
Achim,3,Achim
Achmed,3,Achmed
Achnaton,3,Achnaton
Achrak,3,Achrak
Achterberg,3,Achterberg
Acioly,3,Acioly
Ack,3,Ack
Ackaert,3,Ackaert
Acke,3,Acke
Acker,3,Acker
Ackermans,3,Ackermans
Acket,3,Acket
Aco,3,Aco
Acoorsi,3,Acoorsi
Acosta,3,Acosta
A. Costa,3,A. Costa
Acs,3,Acs
Acy,3,Acy
Ad,3,Ad
Ada,3,Ada
Adaja,3,Adaja
Adája,3,Adája
Adam,3,Adam
Adam Clymer,3,Adam Clymer
Adam Damiri,3,Adam Damiri
Adam Duritz,3,Adam Duritz
Adam Hall,3,Adam Hall
Adam Hochschild,3,Adam Hochschild
Adamkus,3,Adamkus
Adamovich,3,Adamovich
Adam Rifkin,3,Adam Rifkin
Adams,3,Adams
Adang,3,Adang
A. Dansaert,3,A. Dansaert
A. Darrigade,3,A. Darrigade
Adderley,3,Adderley
Addick,3,Addick
Addie,3,Addie
Addo,3,Addo
Ade,3,Ade
Adé,3,Adé
A. De Boeck,3,A. De Boeck
A. Debroye,3,A. Debroye
Adel,3,Adel
Adela,3,Adela
Adelaar,3,Adelaar
Adele,3,Adele
Adele Pickvance,3,Adele Pickvance
