news_index,keywords,keywords_sentiment,keywords_relevance
1,Obama administration,-0.973997,0.718217
1,WASHINGTON     Congressional Republicans,-0.973997,0.712631
1,House Republicans,-0.973997,0.695016
1,health care lawsuit,-0.973997,0.650385
1,incoming Trump administration,-0.973997,0.63702
1,health insurance subsidies,-0.973997,0.62688
1,executive branch,-0.973997,0.612432
1,United States Court of Appeals,-0.973997,0.583196
1,health insurance,-0.973997,0.569821
1,late February,-0.973997,0.567983
2,band of yellow police tape,-0.95301,0.644672
2,South Bronx,-0.95301,0.637741
2,40th Precinct,-0.95301,0.636784
2,crime scenes,-0.95301,0.63455
2,fewest detectives,-0.95301,0.621495
2,violent crime,-0.95301,0.589759
2,parts of New York City,-0.95301,0.586828
2,highest murder rate,-0.95301,0.581868
2,poor minority neighborhoods,-0.95301,0.577283
2,country people,-0.95301,0.57435
3,artist Tyrus Wong,0.0,0.667569
3,90s Mr Wong,0.0,0.627881
3,Chinese immigrant artist,0.0,0.623018
3,San Francisco,0.0,0.580969
3,Walt Disneys Bambi,0.0,0.570064
3,film animation,0.0,0.564263
3,second World Wars,0.0,0.556089
3,Mr Wong,0.0,0.554688
3,Hollywood studios,0.0,0.552738
3,leading figure,0.0,0.548982
4,bleakest year Start,-0.979398,0.615869
4,pop music world,-0.979398,0.589232
4,Hollywood deaths of Carrie Fisher,-0.979398,0.567308
4,Arnold Palmer,-0.979398,0.561155
4,great equalizer,-0.979398,0.559695
4,Muhammad Ali,-0.979398,0.556543
4,Christmas Pop music figures,-0.979398,0.554386
4,death George Michael,-0.979398,0.553959
4,rugged country poet of the common man,-0.979398,0.552205
4,great lengths,-0.979398,0.551895
5,first test of an intercontinental ballistic missile,0.0,0.732673
5,Sunday Mr Kim,0.0,0.683598
5,North Korea,0.0,0.669521
5,United States,0.0,0.655904
5,annual New Years Day speech,0.0,0.622223
5,nuclear tests,0.0,0.614449
5,South Korea,0.0,0.612051
5,nuclear weapons,0.0,0.597313
5,intercontinental ballistic missile,0.0,0.589125
5,inauguration of   Donald J Trump,0.0,0.588513
6,LONDON     Queen Elizabeth,-0.959358,0.846556
6,New Years Day church service,-0.959358,0.846495
6,Sandringham Buckingham Palace,-0.959358,0.670564
6,Christmas Day church service,-0.959358,0.653529
6,country estate,-0.959358,0.645667
6,Prince Philip,-0.959358,0.644087
6,death of King Bhumibol Adulyadej of Thailand,-0.959358,0.612516
6,worlds   monarch,-0.959358,0.590848
6,east coast of England,-0.959358,0.575839
6,queen,-0.959358,0.551496
7,President Tsai   of Taiwan,-0.903333,0.707413
7,Ms Tsai,-0.903333,0.674578
7,Chinas leaders,-0.903333,0.674023
7,step Beijing,-0.903333,0.620897
7,military activities,-0.903333,0.606144
7,relations Ms Tsai,-0.903333,0.604106
7,island Step,-0.903333,0.602065
7,American   Donald J Trump,-0.903333,0.591209
7,United States,-0.903333,0.571424
7,election of Mr Trump,-0.903333,0.556855
8,shows stage,-0.871473,0.620508
8,Biggest Loser,-0.871473,0.603007
8,normal metabolisms,-0.871473,0.583507
8,triumphal tour of the talk shows,-0.871473,0.561796
8,slower metabolism,-0.871473,0.560964
8,study of Season 8s contestants,-0.871473,0.554478
8,Danny Cahill,-0.871473,0.553804
8,weight loss,-0.871473,0.55373
8,National Institute of Diabetes,-0.871473,0.552576
8,Joy Behar,-0.871473,0.548262
9,usual     questions Mr Leahy,0.0,0.693231
9,Jonathan Leahy,0.0,0.691921
9,Hillary Kerr,0.0,0.672042
9,music supervisor,0.0,0.649648
9,Mr Leahy Mr Leahy,0.0,0.618712
9,Ms Kerr,0.0,0.58814
9,Los Angeles,0.0,0.584923
9,email addresses,0.0,0.57631
9,Elle magazine,0.0,0.558543
9,meeting people,0.0,0.558043
10,Muiz familys apartment,-0.944112,0.687795
10,early life,-0.944112,0.608784
10,Bronx paintings of angels,-0.944112,0.60694
10,Zoraida Muiz,-0.944112,0.579632
10,Mr Muiz,-0.944112,0.576828
10,cancer of the lower jaw Ms Muiz,-0.944112,0.565371
10,Ms Muiz,-0.944112,0.565287
10,deep depression,-0.944112,0.564336
10,first child Jos Jr,-0.944112,0.561327
10,childrens father,-0.944112,0.559246
